city_id,name,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
0,Arlit,0,NE,11/14/2019 17:34,14,18.74,7.39,72.21,8.3
1,Butaritari,72,KI,11/14/2019 17:34,72,3.07,172.79,84.51,7.96
2,Port Alfred,60,ZA,11/14/2019 17:34,95,-33.59,26.89,63,1.01
3,Leningradskiy,34,RU,11/14/2019 17:34,85,69.38,178.42,16.75,12.66
4,Bluff,2,AU,11/14/2019 17:34,42,-23.58,149.07,84.49,7.11
5,Jamestown,8,AU,11/14/2019 17:34,37,-33.21,138.6,64.67,8.05
6,Aklavik,90,CA,11/14/2019 17:34,76,68.22,-135.01,-7.6,4.7
7,Igarka,25,RU,11/14/2019 17:34,96,67.47,86.57,-26.57,7.36
8,Hobart,20,AU,11/14/2019 17:33,30,-42.88,147.33,59,21.92
9,Ahipara,72,NZ,11/14/2019 17:34,68,-35.17,173.16,75,15.32
10,Khatanga,98,RU,11/14/2019 17:34,96,71.98,102.47,-13.27,12.15
11,Umm Lajj,0,SA,11/14/2019 17:34,59,25.02,37.27,76.3,1.05
12,Banjar,100,ID,11/14/2019 17:34,88,-7.37,108.54,76.6,1.21
13,San Patricio,0,PY,11/14/2019 17:34,74,-26.98,-56.83,72.43,4.14
14,Biu,33,NG,11/14/2019 17:34,30,10.61,12.19,79.68,7.96
15,Oakdale,1,US,11/14/2019 17:34,48,37.77,-120.85,69.8,9.17
16,Busselton,0,AU,11/14/2019 17:34,40,-33.64,115.35,69.01,15.19
17,Hermanus,72,ZA,11/14/2019 17:34,99,-34.42,19.24,64.99,10.09
18,Nanortalik,100,GL,11/14/2019 17:34,68,60.14,-45.24,33.91,34.45
19,Cape Town,75,ZA,11/14/2019 17:31,93,-33.93,18.42,66.99,18.34
20,Atuona,42,PF,11/14/2019 17:34,72,-9.8,-139.03,80.33,12.59
21,Laguna,0,BZ,11/14/2019 17:34,74,16.17,-88.94,82.4,4.7
22,Bolotnoye,100,RU,11/14/2019 17:34,93,55.67,84.39,0.28,8.28
23,Vagur,0,FO,11/14/2019 17:34,61,61.47,-6.81,40.46,12.71
24,Upernavik,92,GL,11/14/2019 17:34,82,72.79,-56.15,24.49,9.62
25,Castro,90,CL,11/14/2019 17:34,100,-42.48,-73.76,55.4,11.41
26,Fernie,75,CA,11/14/2019 17:34,80,49.5,-115.06,33.8,2.24
27,Rocha,51,UY,11/14/2019 17:30,83,-34.48,-54.34,58.41,11.95
28,Longyearbyen,20,NO,11/14/2019 17:34,58,78.22,15.63,26.6,13.87
29,Uzhur,100,RU,11/14/2019 17:34,90,55.32,89.85,-0.69,8.39
30,Bambous Virieux,75,MU,11/14/2019 17:34,73,-20.34,57.76,75.2,9.17
31,Albany,90,US,11/14/2019 17:30,44,42.65,-73.75,37.4,11.41
32,Torbay,40,CA,11/14/2019 17:34,63,47.66,-52.73,28.99,2.24
33,Mataura,63,NZ,11/14/2019 17:34,49,-46.19,168.86,64,14
34,Rio Cuarto,23,AR,11/14/2019 17:34,47,-33.13,-64.35,77,2.24
35,Rikitea,49,PF,11/14/2019 17:34,78,-23.12,-134.97,71.82,20.69
36,Bredasdorp,38,ZA,11/14/2019 17:34,93,-34.53,20.04,66.2,3.98
37,Bahawalnagar,100,PK,11/14/2019 17:34,64,29.99,73.25,65.46,2.55
38,Kodiak,1,US,11/14/2019 17:42,50,39.95,-94.76,35.6,4.7
39,Praia da Vitoria,90,PT,11/14/2019 17:42,77,38.73,-27.07,62.6,15.66
40,Port Hawkesbury,1,CA,11/14/2019 17:42,68,45.62,-61.36,32,4.7
41,Mabaruma,1,GY,11/14/2019 17:42,92,8.2,-59.78,74.53,2.55
42,Colares,20,PT,11/14/2019 17:42,81,38.8,-9.45,54,2.24
43,Jumla,100,NP,11/14/2019 17:42,50,29.28,82.18,42.84,5.59
44,Mar del Plata,28,AR,11/14/2019 17:42,34,-46.43,-67.52,71.64,22.95
45,Bethel,90,US,11/14/2019 17:40,72,60.79,-161.76,15.8,24.16
46,Otofuke,20,JP,11/14/2019 17:42,40,43.02,143.2,33.8,13.87
47,Huilong,25,CN,11/14/2019 17:42,76,31.15,106.5,55.06,2.42
48,Bealanana,100,MG,11/14/2019 17:42,95,-14.54,48.75,64.76,1.19
49,Fort Nelson,90,CA,11/14/2019 17:42,77,58.81,-122.69,6.8,2.24
50,Baruun-Urt,33,MN,11/14/2019 17:42,71,46.68,113.28,4.05,1.03
51,Victoria,75,BN,11/14/2019 17:41,94,5.28,115.24,77,2.48
52,Yellowknife,75,CA,11/14/2019 17:42,76,62.45,-114.38,-4,3.36
53,Arraial do Cabo,75,BR,11/14/2019 17:42,100,-22.97,-42.02,73.4,21.92
54,Port Elizabeth,75,US,11/14/2019 17:42,79,39.31,-74.98,46.4,3.33
55,Guerrero Negro,10,MX,11/14/2019 17:42,64,27.97,-114.04,70.88,13.02
56,Sur,0,OM,11/14/2019 17:42,40,22.57,59.53,71.69,8.37
57,San Cristobal,79,HN,11/14/2019 17:42,86,14.68,-86.92,68.38,2.35
58,Kavaratti,0,IN,11/14/2019 17:42,71,10.57,72.64,81.7,5.01
59,Katsuura,20,JP,11/14/2019 17:42,70,33.93,134.5,46.4,10.29
60,Thompson,75,CA,11/14/2019 17:42,70,55.74,-97.86,1.4,10.29
61,Ushuaia,90,AR,11/14/2019 17:39,66,-54.81,-68.31,55.4,10.29
62,Kavieng,80,PG,11/14/2019 17:42,70,-2.57,150.8,83.17,2.21
63,Pangnirtung,40,CA,11/14/2019 17:42,67,66.15,-65.72,21.2,17.22
64,Byron Bay,40,AU,11/14/2019 17:42,65,-28.65,153.62,84,8.05
65,Saint George,20,GR,11/14/2019 17:42,93,39.45,22.34,51.8,4.38
66,Iskateley,100,RU,11/14/2019 17:42,92,67.68,53.15,19.54,16.53
67,Nikolskoye,90,RU,11/14/2019 17:42,81,59.7,30.79,50,6.71
68,Pevek,100,RU,11/14/2019 17:42,61,69.7,170.27,17.78,8.59
69,Wewak,10,PG,11/14/2019 17:42,63,-3.55,143.63,85.75,0.81
70,Punta Arenas,40,CL,11/14/2019 17:42,67,-53.16,-70.91,57.2,20.8
71,Buala,90,SB,11/14/2019 17:42,71,-8.15,159.59,83.66,4.76
72,Hithadhoo,98,MV,11/14/2019 17:42,75,-0.6,73.08,82.36,8.08
73,Chokurdakh,92,RU,11/14/2019 17:42,96,70.62,147.9,-0.67,2.21
74,Kaka,100,TM,11/14/2019 17:42,70,37.35,59.62,39.11,2.19
75,Tiksi,0,RU,11/14/2019 17:42,94,71.64,128.87,-13.29,2.91
76,Meulaboh,100,ID,11/14/2019 17:42,78,4.14,96.13,81.01,3.67
77,Mahebourg,75,MU,11/14/2019 17:42,73,-20.41,57.7,75.2,9.17
78,Constitucion,20,MX,11/14/2019 17:42,32,23.99,-104.67,68,2.24
79,Cap Malheureux,75,MU,11/14/2019 17:42,73,-19.98,57.61,75.2,9.17
80,Husavik,49,CA,11/14/2019 17:42,71,50.56,-96.99,21.99,11.1
81,Yilan,43,CN,11/14/2019 17:42,29,43.11,129.52,22.87,14.2
82,Ponta do Sol,100,BR,11/14/2019 17:42,90,-20.63,-46,67.53,3.6
83,Narsaq,100,GL,11/14/2019 17:42,64,60.91,-46.05,35.6,24.16
84,Korbach,87,DE,11/14/2019 17:42,92,51.28,8.87,39.99,8.05
85,Nushki,83,PK,11/14/2019 17:42,52,29.55,66.02,55,2.75
86,Lebu,20,ET,11/14/2019 17:42,66,8.96,38.73,53.6,4.7
87,Naryan-Mar,100,RU,11/14/2019 17:42,92,67.67,53.09,19.54,16.53
88,Massaguet,29,TD,11/14/2019 17:42,47,12.48,15.44,75.2,3.36
89,Irpa Irpa,90,BO,11/14/2019 17:42,100,-17.72,-66.29,55.4,5.82
90,New Norfolk,20,AU,11/14/2019 17:42,30,-42.78,147.06,59,21.92
91,Bonthe,94,SL,11/14/2019 17:42,85,7.53,-12.5,79.25,5.79
92,Lucapa,98,AO,11/14/2019 17:42,98,-8.42,20.74,66.92,2.01
93,Souillac,96,FR,11/14/2019 17:42,100,45.6,-0.6,41,1.12
94,Itoman,20,JP,11/14/2019 17:42,60,26.12,127.67,68,13.87
95,Do Gonbadan,0,IR,11/14/2019 17:42,57,30.36,50.8,50,1.21
96,Bosaso,0,SO,11/14/2019 17:42,78,11.28,49.18,79.63,14.38
